R,R,R,R,R,T,T
53.146,53.3334,53.3755,53.4855,53.638,53.378,53.4349
-7.18055,-6.40628,-6.33135,-6.15134,-6.21705,-6.58993,-6.46898
D205,D206,D911,D805,D804,D910,D334
08 Oct 2022,08 Oct 2022,08 Oct 2022,08 Oct 2022,08 Oct 2022,08 Oct 2022,08 Oct 2022
D205\n10:20 - Dublin Heuston to Portlaoise (3 mins late)\nDeparted Portarlington next stop Portlaoise,D206\n11:20 - Dublin Heuston to Portlaoise (1 mins late)\nArrived Clondalkin next stop Adamstown,D911\n11:15 - Dublin Connolly to Maynooth (1 mins late)\nArrived Ashtown next stop Navan Road Parkway,D805\n11:05 - Dublin Connolly to Dundalk (2 mins late)\nDeparted Donabate next stop Rush and Lusk,D804\n10:40 - Dublin Connolly to Drogheda (7 mins late)\nDeparted Gormanston next stop Laytown,D910\n10:45 - Dublin Connolly to Maynooth(-2 mins late)\nTERMINATED Maynooth at 11:26,D334\n11:16 - Clonsilla to M3 Parkway(0 mins late)\nTERMINATED M3 Parkway at 11:27
To Portlaoise,To Portlaoise,Northbound,Northbound,Northbound,Northbound,Northbound
